primarily,"ad. 主要地,首先地,基本地"
coast,"n. 海岸,滑坡v. 沿海岸而行"
dimension,"n. 尺寸,次元,容积,维数vt. 表出尺寸"
mental,",象"
detective,n. 侦探a. 侦探的
affection,"n. 爱,情感,影响,病"
frontier,"n. 边界,边境"
convenience,"n. 方便,便利的事物,无忧虑"
precise,"a. 精确的,严谨的,明白的"
modest,"a. 谦逊的,羞怯的,端庄的,适度的"
stock,"n. 树干,祖先,股份a. 存货的,平凡的,普通的"
recover,"vt. 重新获得,恢复,复原vi.痊愈,复原"
witness,"n. 证人,目击者,证词,证明,证据vt.目击 "
disaster,"n. 灾祸,不幸"
comedy,"n. 喜剧,有趣的事情"
presentation,"n. 赠与,陈述,介绍n. 简报"
expense,"n. 费用,代价,损失,开支"
electric,"a. 导电的,电的,电动的"
harmony,"n. 协调,和睦,调和"
properly,"ad. 适当地,相当地,当然地"
scenery,"n. 风景,景色,舞台布景"
pond,n. 池塘v. 筑成池塘
bucket,n.桶，水桶；一桶的量
string,"n. 线,细绳,一串,字串vt. 串起,扎"
desperate,"a. 不顾死活的,危急的,令人绝望的,极渴望的"
acute,"a. 敏锐的,激烈的,尖锐的,严重的"
corporation,"n. 公司,合作,法人团体"
coal,"n. 煤,木炭v. 加煤"
acid,"n. 酸,酸类物质a. 酸的,酸性的,讽刺的"
accustom,vt. 使习惯
shelve,"vt. 放置架子上,搁置vi. 倾斜"
firmly,"ad. 坚固,坚定,断然"
amateur,"n. 业余技艺家,爱好者"
electronic,a. 电子的
fragile,"a. 易碎的,脆的"
theorist,"n. 理论家,空谈家"
trash,"n. 垃圾,废物vt. 废弃"
tribe,"n. 种族,部落,一群人"
verify,"vt. 查证,证实,检验v. 校验,检验"
yield,"n. 生产量 vt.生产,放纵,被迫放弃"
courageous,"a. 勇敢的,大胆的,有胆量的"
dispassionate,"a. 冷静的,不带感情的"
endeavor,"n. 努力,尽力vi. 努力,尽力"
enlighten,"vt. 授予...知识,启发,教导,开导"
execution,"n. 实行,完成,执行,死刑n. 执行"
experimental,"a. 实验的,根据实验的"
linguistic,adj. 1 语言的2 语言学上的 
ambivalence,n. 正反感情并存
analogous,"a. 类似的,相似的"
analytical,"a. 分析的,解析的"
band,"n. 带子,队,乐队v. 联合,结合"
candid,"a. 坦白的,率直的,公正的"
captive,"n. 俘虏,迷恋者a. 被俘的,被迷住的"
chronological,"adj. 1 按年代顺序的2 年代学的,年表的"
classification,"n. 分类,分级"
combination,"n. 组合,合并,联合n. 组合图"
implication,"n. 含意,暗示"
incline,"n. 倾斜,斜坡,斜面vt. 使倾向于vi. 倾向"
mechanism,"n. 机械,机构,技巧,机理,结构"
memorable,"a. 值得纪念的,难忘的"
mold,"n. 模子,雏形v. 形成,塑造"
mundane,"a. 现世的,世俗的,宇宙的"
mural,"a. 壁的,壁上的,壁似的n. 壁画"
nostalgia,"n. 乡愁,向往过去,怀旧之情"
objection,"n. 异议,反对,缺点,拒绝之理由,妨碍"
obsolete,"a. 荒废的,成废物的,陈旧的n. 废词,废物"
opposition,"n. 反对,敌对,相反,在野党"
pervasive,"a. 普遍的,蔓延的,渗透的"
purpose,"n. 目的,意向,决心,论题,意义vt. 意欲,企图"
senator,"n. 参议院议员,上议院议员,现任参议员"
skunk,"n. 臭鼬鼠,其皮毛,讨厌鬼vt. 使惨败,欺骗"
stretch,"n. 伸展,张开 a. 可伸缩的,弹性的vt.伸展,张开"
suppress,"vt. 镇压,使止住,查禁,抑制,禁止"
survey,"n. 纵览,视察,测量,俯瞰vt. 审视,视察"
trivial,"a. 琐细的,日常的,轻微的,平常的"
underlie,"vt. 位于...之下,成为...的基础"
unnecessary,"a. 不必要的,无用的,无益的"
deception,"n. 欺骗,诡计"
dependent,"n. 依赖他人者a. 依赖的,从属的"
disapproval,n. 不赞成
disprove,"vt. 证明...是不对的,提出...的反证,反驳"
editorial,"n. 社论,评论a. 编辑的,主笔的,社论的"
ethnic,adj. 1 民族的2 民族特有的，少数民族的成员
external,"n. 外部,外面a. 外部的,客观的,表面的"
fake,n. 假货a. 假的vt. 假造vi. 伪装
flourish,"vi. 繁荣,茂盛,活跃vt.挥舞,夸耀n. 茂盛,华饰"
formal,"a. 正式的,形式的,礼仪的n. 正式的社交活动"
frivolous,"a. 轻佻的,妄动的,琐碎的"
gene,"n. 因子,基因"
hierarchy,"n. 阶级组织,教士政治,僧侣政治"
idealize,"vt. 使理想化vi. 理想化 ,描述理想"
imaginary,"a. 想象的,虚构的,假想的"
implement,"n. 工具,器具vt. 实现,使生效,执行"
impressive,"a. 给人深刻印象的,感人的"
indifference,"n. 不重视,无兴趣,漠不关心"
intensity,"n. 强烈,紧张,强度"
invaluable,"a. 无价的,价值无法衡量的"
inventory,"n. 详细目录,存货清单vt.列入详细目录"
precede,"vt. 在...之前,优于,较...优先vi. 在前面"
prevail,"vi. 获胜,流行,盛行"
probe,"n. 探针,调查,探测针vt.详细调查vi. 探索,调查"
producer,"n. 生产者,制作者,制作人"
protest,"n. 主张,断言,抗议书v. 反对,抗议,断言"
quest,"n. 探索,寻求,调查v. 寻找,找,追寻猎物"
rebel,"n. 叛徒,反叛者vi. 造反,反抗,谋反a. 造反的"
reflection,"n. 反映,沉思,映像,责难,想法,思考"
relief,"n. 减轻,解除,救济,安慰,调剂,地势的起伏"
resent,"vt. 愤恨,憎恶,怨恨"
restoration,"n. 恢复,归还,复位"
retain,"vt. 保持,保有,聘请,记得,留住"
significantly,"adv. 1 有含意地,暗示地2 相当地,显著地"
sketch,"n. 素描,草图,小品v.描绘略图,写生"
suffrage,"n. 投票,选举权,参政权,代祷"
surgery,"n. 外科,手术,手术室"
tolerate,"vt.宽容,默认,有耐力"
unaware,a. 不知道的
uncertainty,"n. 不确定,不可靠,半信半疑"
waterfall,n. 瀑布
windmill,n. 风车
fraud,"n. 骗子,欺骗,欺诈,诡计"
geological,"a. 地质学的,地质的"
hail,"n. 冰雹,致敬,招呼vt.致敬,招呼vi. 招呼,下雹"
hint,"n. 暗示,提示v. 暗示,示意"
idealistic,"a. 唯心论的,唯心主义的唯心主义者的"
inquiry,"n. 质询,调查"
internal,"a. 内在的,国内的"
legislation,"n. 立法,法律"
lord,"n. 统治者,阁下,上帝vi.称王,作威作福vt.使成贵族"
manual,"n. 手册,指南a.手的,手动的,手工的a.人工的,手动的"
manuscript,"n. 手稿,原稿,底稿a. 手写的"
maverick,"n. 未烙饲主印记的小牛,不服从的人vi. 迷路"
minor,"n. 未成年人,副修科目a.较小的,未成年的vi.辅修"
muskrat,n. 麝香蔷薇
penetrate,"vt. 穿透,渗透,看穿vi. 刺入,看穿,渗透"
permanently,"adv. 永存地, 不变地"
plea,"n. 恳求,辩解,托词,请愿"
portrayal,"n. 1 a. 描绘,描写[of]b. 叙述[of]2 肖像"
presidency,"n. 总统职位,总裁职位,主席职位"
provocative,"a. 气人的,挑拨的,刺激的n. 刺激物,挑拨物,兴奋剂"
publication,"n. 出版,公布,出版物"
venture,"n. 冒险,风险vt.敢于,冒...的危险vi. 冒险"
vocal,"a. 声音的,有声的,歌唱的n. 元音,声乐作品"
whereby,"adv.用以…,借以… (的手段等)"
baffle,"vt. 困惑,为难,使挫折vi. 徒作挣扎n.迷惑"
coherent,"a. 互相密合着的,凝聚性的,连贯的"
emigrate,"v. (使)移居,(使)移民"
excavation,"n. 挖掘,发掘,挖掘的洞"
exhaustion,"n. 疲惫,筋疲力尽,竭尽"
implicit,"a. 暗示的,盲从的,绝对的,固有的"
insufficient,"a. 不够的,不能胜任的,不充足的"
malicious,"a. 怀恶意的,恶毒的"
sarcasm,"n. 挖苦,讽刺"
accommodate,"vt. 使适应,调节,和解,容纳vi. 适应"
accord,"n. 一致,调和,协定vt. 一致,给予vi. 符合"
advantageous,"a. 有利的,有益的,方便的"
affordable,adj. 提供得起的
ambivalent,"a. 矛盾的,好恶相克的"
aristocrat,n. 贵族
astute,"a. 机敏的,狡猾的"
bizarre,a. 奇异的
blend,vt. 混合n. 混合
fragment,"n. 碎片,破片,断片"
gradual,"a. 逐渐的,渐增的,徐徐的n. 赞美诗"
guilt,"n. 罪行,内疚"
heritage,"n. 遗产,祖先所留之物,继承物"
ignorant,"a. 无知识的,不知道的,幼稚的"
imagery,"n. 肖像,比喻,雕刻"
incomplete,"a. 不完全的,不定的"
indulge,"vt. 纵情于,放任,迁就vi. 沉溺"
interconnection,n. 互相连络
intimidate,"vt. 威胁,恐吓,胁迫"
intuition,"n. 直觉,直觉的知识"
leopard,"n. 豹,美洲豹"
meteorite,n. 陨星
migration,"n. 移民,移往,移动"
misery,"n. 悲惨,不幸,穷困"
misguide,vt. 误导
multiple,"n. 倍数,并联a. 多样的,复合的,复杂的"
nomad,"n. 游牧民族,流浪者a. 游牧的,流浪的"
nutrient,"a. 营养的,滋养的n. 营养物,滋养物"
oblige,"vt. 强制,施恩惠于,束缚,使感激vi. 表示好意"
obstacle,"n. 障碍,妨害物,阻碍"
speculate,"vi. 深思,推测,投机"
stir,"n. 骚动,轰动vt. 动,移动,摇动vi. 走动,传播"
strictly,"ad. 严格地,确实地"
stuff,"n. 原料,要素,废话vt. 装填vi.狼吞虎咽"
stumble,"n. 绊倒,失策vt.使绊倒,使困惑vi.绊倒,失足"
stun,"vt. 使晕倒,使惊吓,打晕n. 晕眩,猛击"
summit,"n. 顶点,最高阶层a. 政府首脑的"
tension,"n. 紧张,不安,拉紧,电压,压力,张力vt.拉紧"
thoroughly,"adv. 1 完全地,彻底地2 严密地; 准确地"
traditionally,"adv. 传统上, 传说上"
tragedy,"n. 悲剧,惨案,悲惨"
tragic,"a. 悲惨的,悲剧的"
transparent,"a. 透明的,显然的,明晰的n. 透明"
tropical,"a. 热带的,热情的"
ultimate,"n. 终极,根本,顶点,基本原理a. 终极的,极限的"
unnatural,"a. 不自然的,反常的,不近人情的"
unreliable,a. 不可靠的
villa,n. 别墅
volume,"n. 体积,容量,大量, ,许多vi. 成团卷起"
warrior,"n. 战士,勇士,尚武,战斗,武士"
anonymous,"a. 作者不详的,佚名的,无名的n. 无记录"
comet,n. 彗星
complaint,"n. 诉苦,抱怨,控诉"
conscious,"a. 有意识的,知觉的,觉察的"
contempt,"n. 轻视,轻蔑"
continuous,"a. 连续的,继续的,连续不断的a. 连续的"
convolute,"v. 回旋,卷旋,盘旋a. 旋绕的"
crisp,"a. 脆的,新鲜的,活泼的v.(使)烘脆,(使)卷曲"
dealer,"n. 经销商,商人"
defiance,"n. 蔑视,挑衅"
demonstration,"n. 示范,实证"
dim,"a. 暗淡的,模糊的vt. 使暗淡"
disposal,"n. 处理,排列,支配,布置"
dome,n. 圆顶vt. 加圆顶vi. 成圆顶状
dubious,"a. 可疑的,不确定的"
eerie,"a. 怪诞的,可怕的,奇异的,不安的"
elusive,"a. 难懂的,易忘的,难捉摸的"
equation,"n. 相等,等式,平衡"
esteem,"n. 尊敬,尊重vt. 尊敬,尊重,认为"
executive,"n. 执行者,经理主管人员a. 执行的"
expansion,"n. 扩充,开展,膨胀"
expertise,"n. 专家的意见,专门技术"
machinery,"n. 机器,机关,结构"
magical,"a. 魔术的,有魔力的,不可思议的"
marine,"n. 舰队,水兵,海运业a. 海的,海产的"
melodious,"a. 旋律美妙的,调子优美的,音乐性的"
methodology,"n. 方法学,方法论"
monarchy,"n. 君主政体,君主国,君主政治"
offense,"n. 犯罪,伤感情,攻击"
omit,"vt. 省略,删除,疏忽,遗漏"
outdated,"a. 旧式的,落伍的,过时的"
patron,"n. 赞助人,顾客,保护人"
perch,"n. 栖木,高位,杆,河鲈v. (使)栖息"
playwright,n. 剧作家
politically,"adv. 政治上, 贤明地"
productivity,n. 生产力
prohibit,"vt. 禁止,阻止"
prompt,"n. 提示,提醒a.迅速的,敏捷的vt.激励,鼓动"
prospective,"a. 有希望的,预期的,将来的"
prosperity,"n. 繁荣,幸运,成功"
purely,"ad. 纯粹地,清洁地,贞洁地"
rattle,"vt.喋喋不休地说,急促地谈n.喋喋不休的话"
rattlesnake,n. 响尾蛇
utter,"a. 全然的,绝对,完全vt.发出,流通,发射"
utterly,"ad. 完全,全然,绝对"
validity,"n. 有效性,正确性"
variation,"n. 变更,变化,变种,变奏"
dense,"a. 密集的,浓厚的"
distinctive,"a. 有特色的,出众的"
embellish,"vt. 修饰,装饰,润色"
eradicate,"vt. 根除,扑灭,根绝,消灭"
exasperation,n. 恼怒
innocent,"a. 无罪的,不懂事的,无知的n.笨蛋"
insult,"n. 侮辱,无礼vt. 傲慢无礼,侮辱,刺激"
intimate,"a. 亲密的,私人的vt. 暗示,告诉n. 熟友"
magnificent,"a. 华丽的,高尚的,丰富的"
materialism,n. 唯物主义
meticulous,"a. 一丝不苟的,精确的,过细的"
neurologist,"n. 神经学者,神经科专门医师"
partial,"a. 部分的,偏袒的,偏爱的n. 泛音"
perceptual,"a. 知觉的,有知觉的"
racism,"n. 种族主义,人种偏见"
abstraction,"n. 抽象化,心不在焉,提炼,抽象派作品"
ambitious,"a. 有野心的,抱负不凡的,雄心勃勃的"
discern,"v. 辨别,看清楚"
dismissal,"n. 免职,解雇"
dispatch,"vt. 派遣n. 派遣,急件"
dispose,"vt. 处理,排列,布置vi. 处置"
dominant,"a. 占优势的,支配的"
eclectic,"n. 折中主义者,折中派的人a.折衷的"
elicit,"vt. 引出,抽出,引起"
epidemic,"n. 传染病,流行病a. 流行的,传染性的"
essence,"n. 基本,本质,精髓,香精"
evolutionary,"adj. 1 进化论的2 展开 [进展] 的,演变的"
exquisite,"a. 精致的,细腻的,敏锐的"
extensive,"a. 广的,广泛的,多方面的"
gap,"n. 缝隙,缺口,间断vt.打开缺口vi.豁开n.间距"
generosity,"n. 慷慨,宽大"
genetically,adv. 遗传上地
idiosyncratic,"a. 特质的,异质的,特殊的"
immune,"a. 免疫的,免除的,不受影响的n. 免疫者"
impatient,"a. 不耐烦的,着急的,急切的"
inbreeding,"n. 同系繁殖,近亲交配"
incapable,"a. 无能力的,不能的"
inconsistent,"a. 不一致的,不合理的,矛盾的"
pitch,"n. 程度,坡度,音高vi.搭帐篷,"
plagiarism,"n. 剽窃,剽窃物"
playful,"a. 爱打趣的,多趣的,嬉戏的"
poll,"n. 投票 vt. 轮询,剪树枝vi. 投票"
precision,"n. 精密,精确,精确度a. 精密的,精确的n. 精度"
profile,"n. 侧面,轮廓,人物素描vt.描绘...轮廓"
proximity,"n. 接近,亲近"
rage,"n. 愤怒,情绪激动,狂暴vi. 大怒,狂吹,风行"
reasonably,"ad. 适度地,相当地"
recruit,"n. 新兵,补给品vt.使恢复,补充vi.征募新兵"
reef,"n. 暗礁,礁,缩帆v. 缩(帆)"
renown,"n. 名声,声望vt. 使有声望"
reside,"vi. 住,居留,属于"
roam,"v. 漫游,闲逛,徜徉n. 漫步,漫游"
satire,"n. 讽刺文学,讽刺"
scorn,"n. 轻蔑,藐视,嘲笑,被叱责的人vt.轻蔑"
scout,"n. 守候,侦察,侦察机,搜索vt.侦察,跟踪"
scrutinize,"vt. 1 细察,详审2 仔细打量,端详"
sculptor,n. 雕刻家
segment,"n. 片段,部分,分节v. 分割,分裂n. 段"
sensation,"n. 感觉,感情,感动"
soda,"n. 苏打,碳酸水"
somber,"adj.  a. 阴暗的,发黑的b.暗色的,朴素的"
spark,"n. 火花,火星,活力,朝气vi. 闪烁vt.发动,求婚"
splinter,"n. 碎片,尖片,刺,微小的东西v.劈开,(使)破裂"
sprawl,"vi. 伸开手足躺,爬行vt. 懒散地伸开"
stimulation,"n. 刺激,激励,鼓舞"
sting,"n.刺,刺痛,讽刺vt. 刺,刺痛,使苦恼vi.刺,刺痛"
sympathetic,"a. 有同情心的,合意的,赞成的n.容易感受的人"
terrain,"n. 地带,地域,范围,领域"
testimony,"n. 证言,证据,声明"
tribal,"a. 部落的,种族的"
unauthorized,a. 未经认可的
undergo,"vt. 遭受,经历,忍受"
uniqueness,n. 独一无二
unwanted,"a. 不必要的,空闲的"
vine,"n. 攀爬植物,藤,蔓,葡萄树vi. 形成蔓藤"
asteroid,"n. 小游星,小行星,海盘车a. 星状的"
bounty,"n. 慷慨,宽大,恩惠"
bureaucracy,"n. 官僚,官吏"
choreographer,n. 舞蹈指导
chronicle,"n. 年代记,记录,编年史vt. 载入编年史"
burrow,"n. 洞穴,藏身处vi. 掘洞穴,钻研vt. 掘,打洞"
capricious,"a. 反复无常的,善变的,任性的"
cease,"n. 停止v. 停止,终了"
censorship,n. 检查制度
clueless,adj. 1 无线索的2 (英俚)无可救药的; 无知的
compassion,"n. (真诚的) 同情 (心) ,怜悯 "
concise,"a. 简洁的,简明的"
conclusive,"a. 决定性的,确实的,最后的"
confinement,"n. 限制,禁闭,坐月子"
confront,"vt. 使面对,对抗,比较,使对质"
contributor,"n. 贡献者,捐助者,赠送者,投稿者"
conversational,"a. 会话的,对话的,健谈的"
copepod,n. 桡脚类的动物
crater,"n. 火山口,喷火口,弹坑"
crib,"n. 婴儿小床,食槽,栅栏vi. 抄袭vt. 拘禁"
criterion,"n. 标准,准据,轨范"
cryptic,"a. 秘密的,神秘的,含义模糊的,隐藏的"
dazzle,"v. (使)眼花,目眩n. 耀眼"
dedicate,"vt. 献出,贡献"
deliberate,"a. 深思熟虑的,故意的,从容的v.仔细考虑"
demagogue,"n. 煽动者,群众煽动者"
estate,"n. 不动产,时期,阶层,财产"
evaluation,"n. 评估,估价,求值"
exotic,"a. 异国的,外来的n. 外来物,舶来品"
faithful,"a. 忠实的,详确的,可靠的n.信徒"
fearful,"a. 恐怕,可怕的,严重的"
fertile,"a. 肥沃的,生产多的,能生产的"
folklore,"n. 民俗学,民间风俗,民间传说"
formerly,"ad. 从前,以前"
fundamentally,"adv. 根本地,完全地,从基础上"
furious,"a. 狂怒的,激烈的,吵闹的"
glimpse,"n. 一瞥,一闪vi. 投以一瞥,闪烁不定vt.瞥见"
grave,"n. 墓穴,坟墓,雕刻工a. 庄重的,严肃的vt.雕刻"
grease,"n. 兽脂,油脂,贿赂vt. 涂脂于,贿赂"
heed,"n. 注意,留心v. 注意,留心"
hollow,"n. 洞,窟窿,山谷a.空的,虚伪的,空腹的"
immigrant,"n. 移民a. 移入的,移民的"
imminent,"a. 即将来临的,逼近的"
impatience,"n. 性急,难耐,渴望,急躁,焦急"
inability,"n. 无能,无力"
incineration,"n. 烧成灰,焚化,灰化"
inclusion,"n. 包含,内含物"
baggage,n. 行李
occupy,"vt. 占领,占,使从事,担任,住进"
guitar,n. 吉他
damp,"n. 湿气a. 潮湿的vt.使潮湿,抑止vi.变潮湿"
merchant,"n. 商人,店主a. 商业的,商人的"
aggressive,"a. 侵略的,攻击性的"
thick,"a.厚的,粗壮的,浓的,密集的,密的,迟钝的"
sacrifice,"n. 牺牲,供俸,祭品vt. 牺牲,祭祀,贱卖vi. 献祭"
passive,"a. 消极的,被动的,无源的"
systematic,"a. 有系统的,分类的,体系的"
voyage,"n. 航行,航海,航空,航程vi. 航海,航行vt. 渡过"
gravity,"n. 地心引力,重力"
unwilling,"a. 不愿意的,勉强的"
evident,"a. 显然的,明显的"
deliver,"vt. 递送,陈述,释放,发表,交付,投递,引渡"
annoy,"vt. 使苦恼,骚扰"
shave,"n. 修面,刮胡子,剃刀vt. 修面,剃,掠过"
athlete,"n. 运动员,运动选手"
optimistic,"a. 乐观的,乐观主义的,乐天的"
authentic,"a. 真实的,可靠的,可信的"
consensus,"n. 一致,交感"
trick,"n. 诡计,欺诈,谋略,恶作剧vt.戏弄,欺骗,装饰"
poster,"n. 海报,招贴,脚夫"
minority,"n. 少数,未成年,少数民族a. 少数的"
subjective,"a. 主观的,个人的"
consistent,"a. 一致的,调和的,并立的,坚固的"
cautious,"a. 谨慎的,小心的"
irrigation,"n. 灌溉,冲洗"
pedestrian,"n. 行人,步行者a. 徒步的,呆板的,通俗的"
besides,ad. 此外prep. 除...之外
slight,"n. 轻蔑,怠慢a. 轻微的,苗条的vt.轻视,忽略"
delay,"n. 耽搁,迟滞v. 耽搁,延迟v. 延迟"
declare,"v. 宣布,声明,申报,断言"
slip,"n. 滑,滑行,事故,溜,错误,滑台"
fade,"vi. 褪色,消失,凋谢vt.使褪色a. 平淡的"
agenda,"n.pl. 议程,应办事项"
concentrate,"n. 浓缩,精选v. 集中,专心,浓缩"
breakthrough,n. 突破
boundary,"n. 边界,分界线"
agency,"n. 代理,媒介,经销商"
ambiguous,"a. 暧昧的,不明确的"
compensate,"v. 偿还,补偿,付报酬"
patent,"n. 专利权,执照,专利品a. 专利的,显著的"
applaud,"v. 拍手喝彩,称赞,赞同"
versatile,"a. 多才多艺的,万用的,万向的"
wrist,"n. 手腕,腕关节"
decorate,v. 装饰
qualification,"n. 资格,条件,限制"
hibernate,"vi. 过冬,冬眠,避寒"
lend,"vt. 借,贷款给,出租,提供,增添vi.贷款"
publicly,"ad. 公然地,舆论上"
unconscious,a. 无意识的
contradictory,"a. 反驳的,反对的,抗辩的n.正反对,矛盾对立"
radiation,n. 放射线
peasant,"n. 农夫,乡下人"
companion,"n. 朋友,陪伴,指南手册,升降口vt. 陪伴"
ruin,"n. 毁灭,推翻,废墟vi.毁灭,破产,破坏"
kite,"n. 风筝,高而轻的帆,空头支票,骗子"
promotion,"n. 晋级,筹办,增进"
classify,"vt. 分类,归类,分等"
caution,"n. 小心,慎重,警示vt. 警告n. 警告"
constitution,"n. 组织,宪法,体格"
inland,"a. 内陆的,国内的n. 内地"
appointment,"n. 约会,指定"
botany,n. 植物学
dignity,"n. 尊严,高贵"
correspond,"vi. 符合,通信,相当"
hay,"n. 干草,秣vt. 制干草,供给干草"
beard,"n. 胡须vt. 使长胡须,公开反对"
coral,"n. 珊瑚,珊瑚色"
interval,"n. 间隔,距离,间歇,间隙n. 时间间隔"
wage,"n. 薪水,工资,代价,报偿vt.开展,进行"
stamp,"n. 印,邮票,打印器,戳子,图章"
fantastic,"a. 奇妙的,稀奇的,空想的"
beam,"n. 光线,横梁,容光焕发vi.微笑,闪亮vt.发射"
rail,"n. 横杆,围栏,扶手vt.铺铁轨vi.责骂,抱怨"
tease,"n. 揶揄者,戏弄vt. 欺负,嘲弄,梳理,强求"
tongue,"n. 舌,语言能力,口语vt.舔,闲谈,斥责"
assistance,"n. 协助,援助"
pour,"n. 流出,倾泻vt.倒,倾吐,倾泻vi. 倾泻"
accumulate,"v. 积聚,堆积"
comb,"n. 头梳,鸡冠vt. 梳头发,梳毛vi. (浪)涌起"
garage,"n. 车库,汽车修理厂,机库vt. 把车送入修车场"
unrest,"n. 不安的状态,动荡的局面"
seal,"n. 印章,封条,海豹,火漆vt.封闭,盖印"
approximately,"ad. 大约,大致,近乎"
dash,"n. 冲撞,破折号vi. 猛掷,冲撞vt.使沮丧"
squirrel,"n. 松鼠,松鼠的毛皮vt. 贮藏以备用"
stubborn,"a. 顽固的,不听话的,执拗的,棘手的"
antique,"n. 古董,古物a. 旧式的,过时的"
facial,"n. 美颜术,脸部按摩术a. 脸的,脸部用的"
vague,"a. 含糊的,不清楚的,茫然的"
convenient,"a. 方便的,合宜的"
friction,"n. 摩擦,医疗摩擦,不和"
statue,vt. 以雕像装饰n. 雕像
conscience,n. 良心
consultant,"n. 顾问,商议者"
accelerate,v. 加速
wool,"n. 羊毛,毛织物,毛线,绒线"
import,"n. 进口货,进口,重要性,意义vt.输入,进口"
clinic,"n. 诊所,临床教学"
tap,"n. 轻打,水龙头vt.轻打,使流出vi.轻叩,轻拍"
cousin,"n. 堂兄弟姊妹,表兄弟姊妹"
resign,"vt.辞职,放弃,使顺从vi.辞职,屈从"
ambassador,n. 大使
sensitivity,"n. 敏感,多愁善感,感受性"
severely,"adv. 1 严格地,严厉地2 朴素地,简朴地"
shed,"n. 车棚,小屋vt.使流出,散发,脱落"
sleepiness,n. 想睡
span,"n. 指距,全长,广度,径距vt.,跨越,架设,弥补"
spoil,"n. 战利品,赃物vt. 损坏,破坏,溺爱vi.腐坏"
stimulus,"n. 刺激,激励,刺激品"
superintendent,"n. 监督人,管理人,所长"
superiority,"n. 优越,高傲"
suspicion,"n. 怀疑,觉察,嫌疑"
tenant,"n. 承租人,房客,不动产占有人,居住者vt.租借"
tideland,n. 沙滩
toll,"n. 通行费,代价,钟声vt征收,鸣钟vi.征税"
transmission,"n. 传输,传送,变速器"
trustee,"n. 受托人,理事"
understandable,a. 可以理解的
universality,"n. 普遍性,一般性,普及"
versus,prep. 对
visually,adv. 依据视觉地; 可见地
waterfront,n.滨水地方; 湖边 [海岸]地区[路] ;河岸
wield,"vt. 使用,挥舞,运用"
nonchalant,"a. 不关心的,冷淡的,平静的"
notorious,"a. 声名狼藉的,恶名昭张的,众人皆知的"
reassure,"vt. 使...安心,再保证"
reconstruct,"vt. 重建,改造,复兴"
reelect,"vt. 重选,改选"
repress,"vt. 镇压,抑制,压制vi. 压制"
resourceful,"a. 策略的,机智的,资源丰富的"
respectively,"adv. (无比较级、最高级) 个别地,各个地"
reticent,"a. 无言的,沉默的,谨慎的"
rigidity,"n. 硬,僵化,硬度,刚性,坚硬"
ruthless,"a. 无情的,残忍的,毫不留情的"
snout,"n. 鼻口部,鼻子,猪嘴,蛇管的前端"
substantiate,"vt. 使实体化,证实"
vitality,"n. 活力,生命力"
abundance,"n. 丰富,充足"
accusation,"n. 控告,指控,非难"
activist,n. 活跃分子
adviser,"n. 顾问,指导教授,劝告者"
aggravate,"vt. 使恶化,使更严重加重"
alienate,"vt. 使疏远,离间,让与"
allege,"vt. 宣称,申述,主张,断言"
concur,"vi. 意见相同,一致,互助"
condemnation,"n. 非难,罪的宣告,非难的理由"
congress,"n. 国会,会议,讨论会"
consistency,"n. 坚固性,浓度,一致性"
continually,"ad. 不断地,频繁地"
corporate,n. 组织
corridor,"n. 走廊,回廊"
credibility,"n. 可信用,确实性,可靠"
crook,"n. 钩,弯曲部分,恶棍vt.使弯曲,诈骗vi. 弯曲"
crush,"n. 压碎,群众vt. 压破,弄皱,冲入vi.被压碎"
cultivation,"n. 教化,培养,耕作"
debilitate,vt. 使衰弱
debut,n. 初次登场
dedication,"n. 奉献,致力,献辞"
defuse,vt. 去掉...的雷管
denounce,"vt. 告发,公然抨击,谴责"
deter,"vt. 制止,使断念,威慑"
devastate,vt. 毁坏
dialect,"n. 方言,语调"
disastrous,"a. 损失惨重的,悲伤的"
disguise,"n. 假面目,假装vt. 假装,隐瞒"
formulate,"vt. 用公式表示,明确的叙述,制订"
futility,"n. 无用,无益,无价值"
geology,"n. 地质学,地质概况"
glow,"n. 赤热,光辉,红光,热烈vi.发红光,红光焕发,发热"
gong,"n. 铜锣,盘形钟vt. 打锣作停车信号"
graphic,"a. 绘画似的,图解的"
gravitational,a. 重力的
grower,"n. 栽培者,生长物"
immerse,"vt. 沉浸,使陷入"
inconsistency,"n. 不一致,不调和,矛盾"
indispensable,"n. 不可缺少之物a.不可缺少的,不能避免的"
individualism,n. 个人主义
indulgent,"a. 纵容的,任性的,放纵的"
ineptitude,"n. 不适当,愚笨,愚昧的言行"
inflexibility,"n. 不屈曲性,顽固,不变性"
inflexible,"a. 不屈曲的,不屈挠的,顽固的"
inhabitant,"n. 居民,居住者"
injustice,"n. 不公平,不讲道义"
insecurity,"n. 不安全,不安全感"
interrelate,v. (使)相互关连
interruption,"n. 打岔,中断,中断之事"
pearl,"n. 珍珠,杰出者,珍贵之物vt. 用珍珠镶,使成珠状"
perpetuate,"vt. 使永存,使不朽"
perplex,"vt. 使困惑,使复杂化,使为难"
persist,"vi. 坚持,固执,持续"
persuasive,"adj. 有说服力的,善于游说的,令人信服的"
planetary,"adj. 1 行星的,似行星的2 地球的,世界性的"
poorly,"ad. 贫穷地,不充分地,贫乏地a.心情恶劣的"
popularize,"vt. 使成通俗性,使平易,使普及vi. 通俗化"
